0,1,2,3,4,No
0.0,7.0,,,,3236
0.0,6.0,,,,3240
0.0,8.0,,,,3241
0.0,7.0,,,,3245
0.0,7.0,,,,3246
0.0,4.0,,,,3248
0.0,6.0,,,,3249
0.0,4.0,,,,3250
2.0,8.0,,,,3251
0.0,6.0,,,,3252
0.0,7.0,,,,3253
0.0,7.0,,,,3255
1.0,,,,,3257
0.0,6.0,,,,3259
0.0,5.0,,,,3262
0.0,6.0,,,,3263
0.0,7.0,,,,3264
0.0,6.0,,,,3265
0.0,6.0,,,,3266
0.0,5.0,,,,3267
4.0,,,,,3268
5.0,,,,,3269
0.0,5.0,,,,3270
0.0,7.0,,,,3271
2.0,,,,,3273
0.0,6.0,,,,3274
2.0,,,,,3275
3.0,,,,,3276
0.0,6.0,,,,3277
0.0,7.0,,,,3278
3.0,,,,,3280
0.0,6.0,,,,3281
3.0,,,,,3283
0.0,5.0,,,,3284
0.0,6.0,,,,3285
3.0,,,,,3287
0.0,6.0,,,,3288
0.0,6.0,,,,3289
3.0,,,,,3291
0.0,6.0,,,,3292
0.0,5.0,,,,3293
0.0,5.0,,,,3294
3.0,,,,,3296
0.0,6.0,,,,3297
3.0,,,,,3299
0.0,5.0,,,,3300
0.0,5.0,,,,3301
3.0,,,,,3304
0.0,6.0,,,,3305
2.0,5.0,,,,3306
1.0,,,,,3307
0.0,6.0,,,,3308
0.0,7.0,,,,3310
1.0,8.0,,,,3311
0.0,5.0,,,,3312
0.0,6.0,,,,3314
0.0,5.0,,,,3315
0.0,5.0,,,,3316
0.0,6.0,,,,3317
0.0,5.0,,,,3318
0.0,6.0,,,,3319
0.0,6.0,,,,3320
0.0,6.0,,,,3321
0.0,5.0,,,,3323
0.0,6.0,,,,3324
0.0,5.0,,,,3325
0.0,5.0,,,,3326
0.0,6.0,,,,3327
0.0,5.0,,,,3328
0.0,7.0,,,,3329
0.0,5.0,,,,3330
0.0,6.0,,,,3331
0.0,5.0,,,,3333
0.0,7.0,,,,3335
0.0,0.0,0.0,,,3336
2.0,,,,,3338
0.0,6.0,,,,3339
0.0,0.0,0.0,,,3340
0.0,6.0,,,,3342
2.0,,,,,3343
1.0,11.0,,,,3344
0.0,8.0,15.0,,,3345
1.0,5.0,,,,3348
0.0,6.0,,,,3350
0.0,6.0,,,,3351
0.0,6.0,,,,3352
1.0,8.0,,,,3353
0.0,6.0,,,,3354
0.0,5.0,,,,3355
0.0,6.0,,,,3356
0.0,6.0,,,,3357
0.0,6.0,,,,3360
2.0,,,,,3361
0.0,5.0,,,,3363
2.0,,,,,3365
1.0,,,,,3366
0.0,5.0,,,,3367
3.0,,,,,3368
0.0,5.0,,,,3370
0.0,5.0,,,,3371
1.0,,,,,3372
2.0,,,,,3373
0.0,6.0,,,,3375
3.0,,,,,3376
2.0,3.0,,,,3377
0.0,5.0,,,,3378
2.0,4.0,,,,3379
1.0,,,,,3380
0.0,6.0,,,,3381
3.0,,,,,3382
2.0,3.0,,,,3383
0.0,6.0,,,,3384
3.0,,,,,3385
2.0,,,,,3386
0.0,5.0,,,,3387
0.0,8.0,,,,3388
2.0,3.0,,,,3390
0.0,5.0,,,,3391
5.0,,,,,3392
2.0,3.0,,,,3393
0.0,6.0,,,,3394
0.0,7.0,,,,3395
0.0,5.0,,,,3396
0.0,5.0,,,,3397
0.0,4.0,,,,3398
0.0,5.0,,,,3399
0.0,5.0,,,,3400
0.0,6.0,,,,3401
0.0,6.0,,,,3402
0.0,6.0,,,,3403
0.0,6.0,,,,3404
0.0,5.0,,,,3405
0.0,12.0,,,,3406
0.0,8.0,,,,3407
0.0,7.0,,,,3408
0.0,5.0,,,,3409
0.0,,,,,3410
0.0,8.0,,,,3411
0.0,5.0,,,,3413
0.0,3.0,4.0,,,3415
0.0,5.0,,,,3416
0.0,5.0,,,,3418
0.0,5.0,,,,3421
0.0,5.0,,,,3422
0.0,3.0,4.0,,,3423
0.0,4.0,,,,3424
0.0,7.0,,,,3425
0.0,12.0,,,,3426
0.0,6.0,,,,3430
0.0,5.0,,,,3432
0.0,9.0,,,,3433
0.0,6.0,,,,3434
0.0,6.0,,,,3436
0.0,5.0,,,,3438
1.0,8.0,,,,3440
0.0,5.0,,,,3441
2.0,,,,,3442
1.0,,,,,3443
0.0,5.0,,,,3444
1.0,3.0,,,,3445
0.0,5.0,,,,3447
0.0,5.0,,,,3450
1.0,2.0,,,,3451
1.0,,,,,3452
0.0,5.0,,,,3453
2.0,,,,,3454
0.0,5.0,,,,3456
1.0,,,,,3458
2.0,,,,,3459
2.0,,,,,3460
0.0,6.0,,,,3462
0.0,5.0,,,,3463
0.0,6.0,,,,3464
0.0,6.0,,,,3465
1.0,,,,,3467
0.0,5.0,,,,3469
1.0,,,,,3471
0.0,5.0,,,,3472
0.0,6.0,,,,3473
3.0,,,,,3475
0.0,5.0,,,,3476
0.0,4.0,,,,3477
1.0,,,,,3479
0.0,6.0,,,,3480
0.0,5.0,,,,3481
0.0,7.0,,,,3482
0.0,6.0,,,,3484
0.0,5.0,,,,3485
0.0,5.0,,,,3486
0.0,6.0,,,,3488
0.0,5.0,,,,3489
0.0,5.0,,,,3490
0.0,5.0,,,,3491
0.0,6.0,,,,3492
0.0,7.0,,,,3493
0.0,5.0,,,,3494
0.0,5.0,,,,3495
0.0,6.0,,,,3496
0.0,5.0,,,,3497
0.0,5.0,,,,3498
0.0,5.0,,,,3500
0.0,5.0,,,,3501
0.0,6.0,,,,3502
0.0,5.0,,,,3503
0.0,5.0,,,,3504
0.0,5.0,,,,3505
0.0,5.0,,,,3506
0.0,7.0,,,,3507
0.0,7.0,,,,3508
0.0,5.0,,,,3509
1.0,8.0,,,,3511
2.0,,,,,3512
0.0,5.0,,,,3513
0.0,5.0,,,,3514
0.0,6.0,,,,3515
0.0,5.0,,,,3516
0.0,5.0,,,,3518
0.0,7.0,,,,3520
0.0,8.0,,,,3521
0.0,6.0,,,,3524
0.0,8.0,,,,3525
0.0,4.0,,,,3526
0.0,9.0,,,,3527
1.0,,,,,3529
0.0,8.0,,,,3530
3.0,,,,,3531
2.0,,,,,3532
0.0,5.0,,,,3533
3.0,,,,,3535
1.0,2.0,,,,3536
0.0,6.0,,,,3537
1.0,,,,,3538
1.0,,,,,3539
0.0,6.0,,,,3540
2.0,,,,,3542
3.0,,,,,3543
0.0,7.0,,,,3544
2.0,,,,,3545
3.0,,,,,3546
0.0,4.0,,,,3547
4.0,,,,,3549
3.0,,,,,3550
0.0,7.0,,,,3551
0.0,6.0,,,,3552
0.0,4.0,,,,3555
3.0,,,,,3557
2.0,,,,,3558
0.0,6.0,,,,3559
0.0,6.0,,,,3560
1.0,2.0,,,,3562
0.0,4.0,,,,3563
1.0,10.0,,,,3564
5.0,,,,,3565
2.0,,,,,3566
